job_category,url,job_title,company,location,date_posted,skills,salary,job_description,requirements,company_field
data_analyst,https://www.vietnamworks.com/data-analyst-1983929-jv?source=searchResults&searchType=2&placement=1983929&sortBy=relevance,Data Analyst,Công Ty TNHH Onpoint,"27B Nguyễn Đình Chiểu, Phường Đa Kao",20/11/2025,"BigQuery, SQL, BI Tools, MS Excel, Information Technology",Thương lượng,"Mô tả công việc
• Work closely with all various business units to gather business requirements and prioritize information needs.
• Design and implement visualizations (in BI tool) in response to business needs from relational databases and other source systems.
• Acquire data from multiple data sources, understand and maintain the flow of data from sales, commercial, etc.
• Analyze requirements or concepts and propose viable solutions that bring high value for business and end-users.
• Work closely with the development team (Data Engineer, Data Scientist) to make an automation data report.
• Review data and dashboard periodically to make sure all reports are up-to-date and accuracy.
• Deliver effective presentations of findings and recommendations to the business user, creating a visual display of quantitative information.
Yêu cầu công việc
Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?
• BA/BS in Information Technology or a related field.","Yêu cầu công việc
Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?
• BA/BS in Information Technology or a related field.",Công Nghệ Thông Tin/Viễn Thông
data_analyst,https://www.vietnamworks.com/data-analyst-1994222-jv?source=searchResults&searchType=2&placement=1994222&sortBy=relevance,Data Analyst,"Welcome Debt Trading Co., Ltd","Tòa nhà Golden, Lầu 3, đường Điện Biên Phủ, Phường 25, Quận Bình Thạnh, HCM",18/12/2025,"Communication, Data Analysis, Data Visualization, Python, SQL",20tr-30tr ₫/tháng,"Mô tả công việc
CÔNG VIỆC:
• Thu thập, xử lý nhiều loại dữ liệu từ nhiều nguồn khác nhau.
• Báo cáo tiến độ xử lý lên hệ thống.
• Giám sát và phân tích hiệu quả các quy trình mua nợ, xử lý nợ qua việc phân tích dữ liệu.
• Xây dựng các mô hình, báo cáo để giám sát chất lượng của các cá nhân, nhóm liên quan đến quy trình xử lý nợ.
• Phân tích thông số thị trường về nhu cầu mua bán nợ, thu hồi nợ tiêu dùng, khả năng xử lý của các công ty trong cùng ngành nghề.
• Theo dõi và đánh giá hiệu quả của các chiến lược kinh doanh.
• Các công việc khác được giao bởi Trưởng phòng.
Yêu cầu công việc
Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?
• Tốt nghiệp Đại học các ngành: Thống kê, khoa học máy tính, tin học quản lý, hệ thống thông tin, ngân hàng.
• Có kinh nghiệm về phân tích dữ liệu hoặc trong vai trò tương tự.
• Khả năng tự học, tự nghiên cứu là yêu cầu bắt buộc.","Yêu cầu công việc
Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?
• Tốt nghiệp Đại học các ngành: Thống kê, khoa học máy tính, tin học quản lý, hệ thống thông tin, ngân hàng.
• Có kinh nghiệm về phân tích dữ liệu hoặc trong vai trò tương tự.
• Khả năng tự học, tự nghiên cứu là yêu cầu bắt buộc.",Công Nghệ Thông Tin/Viễn Thông
data_analyst,https://www.vietnamworks.com/data-analyst--1983793-jv?source=searchResults&searchType=2&placement=1983793&sortBy=relevance,Data Analyst,Avery Dennison Vietnam,"Lô CN02-1, Khu công nghiệp Yên Phong (Khu mở rộng), Xã Yên Trung, Huyện Yên Phong",20/11/2025,"Data Analysis, Business Intelligence, SQL, Python, Data Management",Thương lượng,"Mô tả công việc
ABOUT YOUR ROLE
Responsible for reporting on service, intake, and output backlog for production lines at the MSEA site also supporting the preparation and setup of internal audits according to the global schedule.

YOUR RESPONSIBILITIES WILL INCLUDE
- Create data gathering process tools for metric tracking.
- Support routine audit following requirement from global guideline.
- Report the operations and service metrics in the global platforms.
- Build up dashboard and measure the performance of operational metrics in every product line.
- Facilitate metrics reportage and provide tools to control the manual input of information and prevent mistakes.
- Develop reports to the leadership team about the operations status such as backlog, productivity metrics, shortage reports and order status.
- Undertake any other ad-hoc duties as assigned.
Yêu cầu công việc
Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?","Yêu cầu công việc
Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?",Công Nghệ Thông Tin/Viễn Thông
data_analyst,https://www.vietnamworks.com/data-analyst--1994176-jv?source=searchResults&searchType=2&placement=1994176&sortBy=relevance,Data Analyst,Deliveree On-Demand Logistics (Southeast Asia),"1/12 Hoàng Việt, Ward 4, Phường 4, Tân Bình, Hồ Chí Minh, Vietnam",18/12/2025,"Data Analysis, PowerBI, business analyst",Thương lượng,"Mô tả công việc
Introduction
Are you looking to be more than just an ordinary Data Analyst? Do you have what it takes to see where you can improve the lives of others through making great mobile and web products to solve issues and improve life? Do you want your products to be used by millions of users in the world and know immediately how much they love your work?

As the Data Analyst, you will build useful and disruptive products, design and develop company applications, and coordinate a Data development team to deliver quality software technologies and systems. You will develop cross-domain and cross-functional knowledge about logistics business, products, and operations through working with vast volumes of data. You will provide technical input to product teams and stakeholders to help make business and product decisions and be part of creating great technology products. This is a challenging but rewarding opportunity that will increase your experience in a fast-moving product startup company. Join us to disrupt the logistic industry with your skills, abilities, and passion for technologies.

Responsibilities

Manage master data, including creation, updates, and deletion",,Công Nghệ Thông Tin/Viễn Thông
data_analyst,https://www.vietnamworks.com/senior-data-analyst--1993689-jv?source=searchResults&searchType=2&placement=1993689&sortBy=relevance,Senior Data Analyst,Công Ty TNHH Vietcetera,"Hồ Chí Minh, Vietnam",17/12/2025,"Data Analysis, SQL, Python, BI Tools, BigQuery",Thương lượng,"Mô tả công việc
Vietcetera is seeking a Senior Data Analyst to strengthen and expand our audience analytics capabilities across Web, Social, CRM, and Content. Your insights will support data-driven decision-making for Marketing, Events, Product, and Editorial.
You will work closely with cross-functional teams to refine our data frameworks, enhance reporting systems, and uncover meaningful trends behind audience behavior, engagement, and growth. This role offers substantial ownership, with opportunities to shape how data is used across the company.

Key Responsibilities
1. Unified Data Analysis
• Analyze and synthesize data from multiple sources (GA4, CMS, Social, CRM, Event tools) to create a unified view of Vietcetera’s audience.
• Build scalable data pipelines and ensure data integrity and accessibility across teams.

2. Audience Segmentation & Journey Mapping
• Identify and define high-value audience segments to better understand behaviors, interests, and retention drivers.
• Map user journeys and conversion funnels to highlight growth and engagement opportunities.",,Công Nghệ Thông Tin/Viễn Thông
data_scientist,https://www.vietnamworks.com/senior-data-analyst--1989423-jv?source=searchResults&searchType=2&placement=1989423&sortBy=relevance,Senior Data Analyst,Công Ty Cổ Phần Chứng Khoán SSI,1C Ngô Quyền - Hoàn Kiếm - Hà Nội,04/12/2025,"data warehousing techniques, Phân Tích Dữ Liệu, Data Analysis, Business Intelligence, Big Data",Thương lượng,"Mô tả công việc
1. Phân tích & trực quan hóa dữ liệu:
- Thu thập, xử lý, và phân tích dữ liệu từ nhiều nguồn khác nhau để hỗ trợ ra quyết định kinh doanh.
- Xây dựng các báo cáo, dashboard trực quan hóa dữ liệu để hỗ trợ hoạt động kinh doanh/vận hành.
- Theo dõi và đánh giá hiệu quả hoạt động dựa trên các chỉ số kinh doanh (KPIs).
2. Xây dựng & quản lý cơ sở dữ liệu:-
- Thiết kế, tối ưu hóa các mô hình dữ liệu phục vụ phân tích.
- Viết truy vấn SQL để trích xuất, tổng hợp dữ liệu từ nhiều nguồn dữ liệu khác nhau (Datawarehouse/DataLake/ hoặc các nguồn khác).
- Hỗ trợ xây dựng và quản lý pipeline dữ liệu tự động.
3. Hỗ trợ phân tích chuyên sâu:
- Phân tích xu hướng thị trường, hành vi khách hàng, hiệu quả chiến dịch để đề xuất giải pháp tối ưu.
- Hỗ trợ các phòng ban trong việc sử dụng dữ liệu để đưa ra quyết định kinh doanh.
4. Phối hợp với các bộ phận khác:
- Làm việc chặt chẽ với các team IT, Kinh doanh, Marketing, Rủi ro để đảm bảo dữ liệu được sử dụng hiệu quả.
- Đề xuất các phương pháp phân tích dữ liệu mới nhằm nâng cao chất lượng dự báo.
5. Thực hiện các công việc chuyên môn liên quan khác theo phân giao của cấp quản lý.",,Công Nghệ Thông Tin/Viễn Thông
data_analyst,https://www.vietnamworks.com/senior-data-analyst--1981212-jv?source=searchResults&searchType=2&placement=1981212&sortBy=relevance,Senior Data Analyst,Trusting Social,"Tầng 8, Havana Tower - 132 Hàm Nghi, P. Bến Thành, Q.1, TP.HCM",15/12/2025,"Data Analysis, SQL, Python, Data Management, Business Analysis",Thương lượng,"Mô tả công việc
Trusting Social is an AI Fintech pioneer that's revolutionizing credit access in emerging markets. Our mission is ""Advancing AI to Meet the Financial Needs of Everyday Consumers with Empathy."" We've assessed over 1 billion consumers across four countries, and we're on a mission to provide 100 million credit lines using the power of AI and Big Data.
Are you a dedicated and curious Senior Data Analyst ready to dive deep into data and drive impactful business decisions? We're looking for a proactive individual to join our dynamic team in Vietnam. If you're passionate about uncovering insights, solving complex problems, and contributing directly to operational excellence and product development in a company with a strong social mission, this role is for you!

How You'll Make an Impact
As a Senior Data Analyst at Trusting Social, you'll be at the core of our data-driven decision-making process. You'll analyze and interpret complex datasets to provide actionable insights that directly influence our strategic direction, product enhancements, and operational efficiency. Your work will not only improve our internal processes but also contribute directly to democratizing credit access for millions in emerging markets.

What You'll Do
- Develop & Maintain Analytics Tools: Assist in the creation and upkeep of essential reports, dashboards, and analytical tools that empower sound business decisions.",,Công Nghệ Thông Tin/Viễn Thông
data_analyst,https://www.vietnamworks.com/hr-data-analyst-female-1985930-jv?source=searchResults&searchType=2&placement=1985930&sortBy=relevance,HR Data Analyst (Female),Vietnam Australia International School (Vas),"594 Ba Thang Hai Street, District 10, Ho Chi Minh City",26/11/2025,"Data Analysis, Data Science, Power BI, HR Reports, HRIS",Thương lượng,"Mô tả công việc
Main Responsibilities
- Build HR data/models/reports, such as Recruitment, Headcount, Salary, Budget, etc.
- Develop reports/dashboards using BI tools, Excel, PowerPoint, etc., to support data management/ analysis.
- Prepare periodic or ad-hoc reports and analyses. Ensure timeliness, accuracy, and compliance with reports.
- Regularly check, update, and supplement data for report analysis, ensuring data accuracy.
- Utilize data visualization programs, tools, and techniques to create dashboards, reports, and presentations.
- Analyze data to extract insights and forecast upcoming trends.
- Efficiently execute and compile reports as required.

1. Data Collection, Processing, and Analysis:
- Conduct research, design, develop, and administer the Company's databases.
- Collect and process data from various sources related to reports to ensure data accuracy.
- Interact with relevant teams to clarify data analysis requirements, organize data for report and dashboard development, and provide appropriate analytical data.
- Develop and maintain BI reports and dashboards to monitor work progress.",,Công Nghệ Thông Tin/Viễn Thông
data_analyst,https://www.vietnamworks.com/sustainability-data-analyst-manager-1992845-jv?source=searchResults&searchType=2&placement=1992845&sortBy=relevance,Sustainability Data Analyst Manager,Công Ty TNHH Olam Việt Nam,"Ho Chi Minh City, Vietnam",15/12/2025,"Sustainability Reporting, Sustainability Management, Data Analysis, Data-Driven Approach, GIS",Thương lượng,"Mô tả công việc
As a leading provider of high-quality food and beverage ingredients, we work with farming communities across the globe to grow, source and produce ingredients that are good for consumers, farmers, and the world around us. We supply household food brands and manufacturers worldwide with cocoa, coffee, dairy, nuts and spices ingredients which are often grown on our own farms and estates and sourced from hundreds of thousands of farmers across ~50 countries. Along with our diverse manufacturing and innovation capabilities, this means we can provide ingredients for a range of products, from a plant-based latte mix to an almond based snack bar or a dairy-free ice cream.  Making a positive impact on people and planet is a core component of our Purpose, to be the change for good food and a healthy future. With a deep-rooted presence in the countries where our ingredients are grown, we are closer to farmers, enabling better quality, and more reliable, traceable, and transparent supply. And whoever we’re with, whatever we’re doing, we always make it real.

KEY RESPONSIBILITIES
• Revise and analyze data on farmer practices and sustainability programs, prepare diagnosis reports of data quality, identify urgent improvements, train origins to address pitfalls, and monitor implementation of solutions.
• Evaluate capacity of M&E origin teams and provide guidance to improve
• Design and provide training to origin teams on data quality monitoring, survey collection,",,Công Nghệ Thông Tin/Viễn Thông
data_analyst,https://www.vietnamworks.com/data-analyst-digital-marketing-analyst-1991086-jv?source=searchResults&searchType=2&placement=1991086&sortBy=relevance,Data Analyst / Digital Marketing Analyst,Metasource,"101 Cù Lao, phường 2, Phú Nhuận, Hồ Chí Minh, Việt Nam",09/12/2025,"Analytical Thinking, Looker Studio, Social Analytics, SQL, Supermetrics, Supermetrics",22tr-24tr ₫/tháng,"Mô tả công việc
Key Responsibilities
• Collect, transform, and analyze marketing data from multiple platforms (Google Ads, Meta, LinkedIn, etc.)
• Build and maintain dashboards to monitor campaign performance, audience trends, and attribution performance.
• Collaborate with marketing and content teams to interpret results and guide creative strategy.
• Prepare regular performance reports and present key findings to stakeholders.
• Ensure data accuracy and consistency across all marketing performance tracking systems.
Yêu cầu công việc
Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?
Required Technical Skills
• Looker Studio: Building, automating, and optimizing dashboards and reports.
• SQL: Writing queries to extract, join, and manipulate large datasets.
• Supermetrics / similar ETL tools: Automating data pipelines and integrating marketing data sources.
• Social media analytics: Understanding of Google Ads, Facebook Ads Manager, Criteo and others.
• Excel/Google Sheets proficiency for data cleaning & modeling.
• Familiarity with GA4.","Yêu cầu công việc
Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?
Required Technical Skills
• Looker Studio: Building, automating, and optimizing dashboards and reports.
• SQL: Writing queries to extract, join, and manipulate large datasets.
• Supermetrics / similar ETL tools: Automating data pipelines and integrating marketing data sources.
• Social media analytics: Understanding of Google Ads, Facebook Ads Manager, Criteo and others.
• Excel/Google Sheets proficiency for data cleaning & modeling.
• Familiarity with GA4.",Công Nghệ Thông Tin/Viễn Thông
